word, meaning, partOfSpeech
quilted, stitch or sew together, verb
adduce, advance evidence for, verb
powdering, make into a powder by breaking up or cause to become dust, verb
fawning, show submission or fear, verb
beholden, see with attention, verb
percuss, strike or tap firmly, verb
reputed, look on as or consider, verb
exact, claim as due or just, verb
subduing, put down by force or intimidation, verb
ruminating, chew the cuds, verb
contemning, look down on with disdain, verb
bugled, play on a bugle, verb
braving, face and withstand with courage, verb
extricated, release from entanglement of difficulty, verb
embrocate, administer an oil or ointment to ; often in a religious ceremony of blessing, verb
repaying, pay back, verb
kidnap, take away to an undisclosed location against their will and usually in order to extract a ransom, verb
scored, gain points in a game, verb
granulated, form into grains, verb
nourish, provide with nourishment, verb
dogged, go after with the intent to catch, verb
graven, shape (a material like stone or wood) by whittling away at it, verb
reconstitute, construct or form anew or provide with a new structure, verb
felicitate, express congratulations, verb
novelize, convert into the form or the style of a novel, verb
eject, put out or expel from a place, verb
humiliating, cause to feel shame; hurt the pride of, verb
outwear, last longer than others, verb
verbalize, be verbose, verb
denature, add nonfissionable material to (fissionable material) so as to make unsuitable for use in an atomic bomb, verb
orchestrate, write an orchestra score for, verb
produced, bring forth or yield, verb
sunk, fall or descend to a lower place or level, verb
raze, tear down so as to make flat with the ground, verb
tusked, stab or pierce with a horn or tusk, verb
impale, pierce with a sharp stake or point, verb
unsettle, disturb the composure of, verb
rigidify, become rigid, verb
doddered, walk unsteadily, verb
deflower, deprive of virginity, verb
galvanize, to stimulate to action, verb
mongering, sell or offer for sale from place to place, verb
anastomose, come together or open into each other, verb
reassign, transfer somebody to a different position or location of work, verb
erased, remove from memory or existence, verb
graduating, receive an academic degree upon completion of one's studies, verb
spooning, scoop up or take up with a spoon, verb
replenish, fill something that had previously been emptied, verb
gnawing, bite or chew on with the teeth, verb
entice, provoke someone to do something through (often false or exaggerated) promises or persuasion, verb
frequent, do one's shopping at; do business with; be a customer or client of, verb
stoned, kill by throwing stones at, verb
smutted, make obscene, verb
examine, consider in detail and subject to an analysis in order to discover essential features or meaning, verb
blotched, mark with spots or blotches of different color or shades of color as if stained, verb
accosted, speak to someone, verb
moonshining, distill (alcohol) illegally; produce moonshine, verb
undermining, destroy property or hinder normal operations, verb
foddering, give fodder (to domesticated animals), verb
podded, take something out of its shell or pod, verb
illume, make lighter or brighter, verb
enriching, make better or improve in quality, verb
unbended, straighten up or out; make straight, verb
permute, change the order or arrangement of, verb
decomposed, separate (substances) into constituent elements or parts, verb
effervesce, become bubbly or frothy or foaming, verb
deserve, be worthy or deserving, verb
mourn, feel sadness, verb
subdue, put down by force or intimidation, verb
thurify, perfume especially with a censer, verb
intrust, confer a trust upon, verb
lifting, raise from a lower to a higher position, verb
barnstorming, appear at county fairs and carnivals as a stunt flier and parachute jumper, verb
simplified, make simpler or easier or reduce in complexity or extent, verb
saponify, become converted into soap by being hydrolized into an acid and alcohol as a result of being treated with an alkali, verb
invigorating, heighten or intensify, verb
fetched, go or come after and bring or take back, verb
blurred, become glassy; lose clear vision, verb
insist, be emphatic or resolute and refuse to budge, verb
conquer, to put down by force or authority, verb
intromit, allow to enter; grant entry to, verb
accommodate, be agreeable or acceptable to, verb
deaminize, remove the amino radical (usually by hydrolysis) from an amino compound; to perform deamination, verb
dissenting, withhold assent, verb
frogged, hunt frogs for food, verb
mown, cut with a blade or mower, verb
waken, cause to become awake or conscious, verb
defiled, place under suspicion or cast doubt upon, verb
resuspend, put back into suspension, verb
perspire, excrete perspiration through the pores in the skin, verb
pierced, cut or make a way through, verb
uncorking, release, verb
jobbing, profit privately from public office and official business, verb
prefigure, imagine or consider beforehand, verb
sloping, be at an angle, verb
sculptured, create by shaping stone or wood or any other hard material, verb
uniformize, make uniform, verb
swam, travel through water, verb
chatting, talk socially without exchanging too much information, verb
sloped, be at an angle, verb
fluoresce, exhibit or undergo fluorescence, verb
alarmed, fill with apprehension or alarm; cause to be unpleasantly surprised, verb
mowing, cut with a blade or mower, verb
reclaim, claim back, verb
twinned, duplicate or match, verb
stammering, speak haltingly, verb
shriving, grant remission of a sin to, verb
constrain, hold back, verb
moralize, interpret the moral meaning of, verb
unstrap, remove the strap or straps from, verb
chained, connect or arrange into a chain by linking, verb
autotomize, cause a body part to undergo autotomy, verb
dabbling, dip a foot or hand briefly into a liquid, verb
hooped, bind or fasten with a hoop, verb
disobliging, to cause inconvenience or discomfort to, verb
officeress, direct or command as an officer, verb
engulf, devote (oneself) fully to, verb
beguile, influence by slyness, verb
distilled, undergo condensation; change from a gaseous to a liquid state and fall in drops, verb
compensate, adjust for, verb
unpick, become or cause to become undone by separating the fibers or threads of, verb
distinguish, mark as different, verb
unpicked, become or cause to become undone by separating the fibers or threads of, verb
parboil, cook (vegetables) briefly, verb
enchant, hold spellbound, verb
ensconce, fix firmly, verb
froze, stop moving or become immobilized, verb
actualize, make real or concrete; give reality or substance to, verb
fingered, feel or handle with the fingers, verb
fringing, adorn with a fringe, verb
cricketing, play cricket, verb
ginned, separate the seeds from (cotton) with a cotton gin, verb
urinate, pass after the manner of urine, verb
concealed, prevent from being seen or discovered, verb
soliloquizing, talk to oneself, verb
hallow, render holy by means of religious rites, verb
overstretch, strain abnormally, verb
smuggle, import or export without paying customs duties, verb
batfowl, catch birds by temporarily blinding them, verb
stilling, make calm or still, verb
birl, cause a floating log to rotate by treading, verb
intensify, increase in extent or intensity, verb
authorize, grant authorization or clearance for, verb
speak, express in speech, verb
prickled, cause a prickling sensation, verb
improvise, perform without preparation, verb
enquire, inquire about, verb
boiled, come to the boiling point and change from a liquid to vapor, verb
sheathe, cover with a protective sheathing, verb
proofreading, read for errors, verb
dehydrate, preserve by removing all water and liquids from, verb
reawakening, awaken once again, verb
unhorse, alight from (a horse), verb
aby, make amends for, verb
defecate, have a bowel movement, verb
metabolize, produce by metabolism, verb
encipher, convert ordinary language into code, verb
disembody, free from a body or physical form or reality, verb
evolve, work out, verb
renovate, restore to a previous or better condition, verb
hedgehop, fly very close to the ground, verb
saddled, put a saddle on, verb
cheapen, lower the grade of something; reduce its worth, verb
undeceiving, free from deception or illusion, verb
excruciating, torment emotionally or mentally, verb
prepossess, possess beforehand, verb
concluding, decide by reasoning; draw or come to a conclusion, verb
disquieting, disturb in mind or make uneasy or cause to be worried or alarmed, verb
reshape, shape anew or differently, verb
heighten, become more extreme, verb
extend, extend in scope or range or area, verb
decried, express strong disapproval of, verb
enrol, register formally as a participant or member, verb
decipher, convert code into ordinary language, verb
achieve, to gain with effort, verb
channeled, transmit or serve as the medium for transmission, verb
misunderstood, interpret in the wrong way, verb
battered, strike against forcefully, verb
bald, grow bald; lose hair on one's head, verb
ignore, refuse to acknowledge, verb
antisepticize, disinfect with an antiseptic, verb
hanker, desire strongly or persistently, verb
teetotal, practice teetotalism and abstain from the consumption of alcoholic beverages, verb
catholicize, cause to adopt Catholicism, verb
welcoming, accept gladly, verb
consolidate, unite into one, verb
enfold, enclose or enfold completely with or as if with a covering, verb
encamp, live in or as if in a tent, verb
shouldering, lift onto one's shoulders, verb
breastfeeding, give suck to, verb
transfuse, impart gradually, verb
fining, issue a ticket or a fine to as a penalty, verb
stung, cause a sharp or stinging pain or discomfort, verb
uprise, come into existence; take on form or shape, verb
lenify, cause to be more favorably inclined; gain the good will of, verb
uncurling, move out of a curled position, verb
isolate, place or set apart, verb
dissuade, turn away from by persuasion, verb
owing, be obliged to pay or repay, verb
trifurcate, divide into three, verb
flattering, praise somewhat dishonestly, verb
illumine, make lighter or brighter, verb
vend, sell or offer for sale from place to place, verb
calcine, heat a substance so that it oxidizes or reduces, verb
loathe, find repugnant, verb
worn, be dressed in, verb
gied, clean in preparation for inspection, verb
serrate, make saw-toothed or jag the edge of, verb
shafting, equip with a shaft, verb
standardized, cause to conform to standard or norm, verb
contrive, make or work out a plan for; devise, verb
deafen, be unbearably loud, verb
twiddling, turn in a twisting or spinning motion, verb
fatiguing, lose interest or become bored with something or somebody, verb
swosh, move with or cause to move with a whistling or hissing sound, verb
perishing, pass from physical life and lose all bodily attributes and functions necessary to sustain life, verb
interconnect, be interwoven or interconnected, verb
illuminated, make lighter or brighter, verb
resounding, ring or echo with sound, verb
vouch, give personal assurance; guarantee, verb
avoid, stay clear from; keep away from; keep out of the way of someone or something, verb
mixed, mix together different elements, verb
mounted, attach to a support, verb
heeled, tilt to one side, verb
define, determine the essential quality of, verb
elate, fill with high spirits; fill with optimism, verb
mollycoddling, treat with excessive indulgence, verb
acknowledged, declare to be true or admit the existence or reality or truth of, verb
pouting, be in a huff and display one's displeasure, verb
increasing, become bigger or greater in amount, verb
attune, adjust or accustom to; bring into harmony with, verb
bleating, talk whiningly, verb
inspect, look over carefully, verb
imbed, fix or set securely or deeply, verb
said, express in words, verb
augment, enlarge or increase, verb
undulating, stir up (water) so as to form ripples, verb
capacitate, make legally capable or qualify in law, verb
exploded, cause to burst with a violent release of energy, verb
tined, plate with tin, verb
nosed, search or inquire in a meddlesome way, verb
exsert, thrust or extend out, verb
decarbonize, remove carbon from (an engine), verb
raking, move through with or as if with a rake, verb
recopy, copy again, verb
sighted, catch sight of; to perceive with the eyes, verb
dramatize, put into dramatic form, verb
philander, have amorous affairs; of men, verb
socialize, take part in social activities; interact with others, verb
bridged, connect or reduce the distance between, verb
swaddling, wrap in swaddling clothes, verb
forbearing, refrain from doing, verb
disturb, move deeply, verb
denounce, speak out against, verb
overemphasize, place special or excessive emphasis on, verb
marrying, take in marriage, verb
beavered, work hard on something, verb
parch, cause to wither or parch from exposure to heat, verb
canonize, declare (a dead person) to be a saint, verb
jeopardize, pose a threat to; present a danger to, verb
abased, cause to feel shame; hurt the pride of, verb
entertain, provide entertainment for, verb
bludgeoned, overcome or coerce as if by using a heavy club, verb
channelling, transmit or serve as the medium for transmission, verb
waylay, wait in hiding to attack, verb
catalyze, change by catalysis or cause to catalyze, verb
convalesce, get over an illness or shock, verb
gruntled, cause to be more favorably inclined; gain the good will of, verb
retold, render verbally , verb
unbridled, remove the bridle from (a horse or mule), verb
motorize, equip with a motor vehicle, verb
etiolate, make weak by stunting the growth or development of, verb
rushed, move fast, verb
hatting, put on or wear a hat, verb
pretermit, disregard intentionally or let pass, verb
individuate, give individual character to, verb
pettifogging, argue over petty things, verb
chondrify, turn into cartilage, verb
uncluttered, rid of obstructions, verb
numb, make numb or insensitive, verb
masculinize, give a masculine appearance or character to, verb
weathered, face and withstand with courage, verb
locate, discover the location of; determine the place of; find by searching or examining, verb
espy, catch sight of, verb
mislay, place (something) where one cannot find it again, verb
eyed, look at, verb
corseting, dress with a corset, verb
coddle, treat with excessive indulgence, verb
slandering, charge falsely or with malicious intent; attack the good name and reputation of someone, verb
tolling, ring slowly, verb
satisfice, decide on and pursue a course of action satisfying the minimum requirements to achieve a goal, verb
antiquate, make obsolete or old-fashioned, verb
depending, be contingent upon (something that is elided), verb
fathered, make children, verb
bushed, provide with a bushing, verb
leathering, whip with a leather strap, verb
solicited, make a solicitation or entreaty for something; request urgently or persistently, verb
housekeep, maintain a household; take care of all business related to a household, verb
defuse, remove the triggering device from, verb
outed, to state openly and publicly one's homosexuality, verb
guttle, eat greedily, verb
abash, cause to be embarrassed; cause to feel self-conscious, verb
demilitarize, do away with the military organization and potential of, verb
vasectomize, remove the vas deferens, verb
perfected, make perfect or complete, verb
edifying, make understand, verb
reproduce, make a copy or equivalent of, verb
blinkered, put blinders on (a horse), verb
josh, be silly or tease one another, verb
shrouded, cover as if with a shroud, verb
shoeing, furnish with shoes, verb
terminate, bring to an end or halt, verb
exclude, prevent from being included or considered or accepted, verb
capitulate, surrender under agreed conditions, verb
habited, put a habit on, verb
unarm, take away the weapons from; render harmless, verb
nerving, get ready for something difficult or unpleasant, verb
crested, lie at the top of, verb
tackling, accept as a challenge, verb
ribbed, form vertical ribs by knitting, verb
placate, cause to be more favorably inclined; gain the good will of, verb
bedight, decorate, verb
transporting, move something or somebody around; usually over long distances, verb
unharnessed, remove the harness from, verb
cresting, lie at the top of, verb
graved, shape (a material like stone or wood) by whittling away at it, verb
beamed, smile radiantly; express joy through one's facial expression, verb
officialize, make official, verb
commend, express approval of, verb
told, express in words, verb
molder, break down, verb
prefixed, attach a prefix to, verb
wedded, take in marriage, verb
preexist, exist beforehand or prior to a certain point in time, verb
intercepting, seize on its way, verb
pursed, contract one's lips into a rounded shape, verb
collimate, make or place parallel to something, verb
upload, transfer a file or program to a central computer from a smaller computer or a computer at a remote location, verb
counterweighted, constitute a counterweight or counterbalance to, verb
clipped, sever or remove by pinching or snipping, verb
unnerve, disturb the composure of, verb
crepitate, make a crackling sound, verb
animated, heighten or intensify, verb
suppose, express a supposition, verb
estivate, sleep during summer, verb
exhausted, wear out completely, verb
unsealed, break the seal of, verb
dividing, separate into parts or portions, verb
covered, provide with a covering or cause to be covered, verb
maned, take charge of a certain job; occupy a certain work place, verb
depute, transfer power to someone, verb
coiled, to wind or move in a spiral course, verb
recuse, disqualify oneself (as a judge) in a particular case, verb
underlying, be or form the base for, verb
retrace, to go back over again, verb
discolored, lose color or turn colorless, verb
begat, make children, verb
scalding, subject to harsh criticism, verb
bombilate, make a buzzing sound, verb
squirting, cause to come out in a squirt, verb
terrifying, fill with terror; frighten greatly, verb
bridging, connect or reduce the distance between, verb
transforming, subject to a mathematical transformation, verb
cannulated, introduce a cannula or tube into, verb
heal, heal or recover, verb
lapidate, kill by throwing stones at, verb
assoil, pronounce not guilty of criminal charges, verb
ptyalize, expel or eject (saliva or phlegm or sputum) from the mouth, verb
unreeled, unwind from or as if from a reel, verb
fragmentize, break or cause to break into pieces, verb
channeling, transmit or serve as the medium for transmission, verb
bedamn, wish harm upon; invoke evil upon, verb
behoove, be appropriate or necessary, verb
underlain, be or form the base for, verb
emaciate, cause to grow thin or weak, verb
roomed, live and take one's meals at or in, verb
individualize, make or mark or treat as individual, verb
threw, propel through the air, verb
befool, make a fool or dupe of, verb
reread, read anew; read again, verb
pled, appeal or request earnestly, verb
intermingle, combine into one, verb
steadying, make steady, verb
reassess, revise or renew one's assessment, verb
unbrace, undo the ties of, verb
thrive, grow vigorously, verb
forgive, stop blaming or grant forgiveness, verb
outriding, hang on during a trial of endurance, verb
topped, be superior or better than some standard, verb
twilled, weave diagonal lines into (textiles), verb
elbowed, push one's way with the elbows, verb
martyress, kill as a martyr, verb
platinize, coat with metallic platinum, verb
puzzling, be a mystery or bewildering to, verb
pent, produce a literary work, verb
besot, make dull or stupid or muddle with drunkenness or infatuation, verb
stank, be extremely bad in quality or in one's performance, verb
scumming, remove the scum from, verb
searing, make very hot and dry, verb
imploring, call upon in supplication; entreat, verb
affrighted, cause fear in, verb
dashed, run or move very quickly or hastily, verb
prepossessing, possess beforehand, verb
impose, compel to behave in a certain way, verb
snickering, laugh quietly, verb
recrudesce, happen, verb
walled, surround with a wall in order to fortify, verb
retrogress, get worse or fall back to a previous condition, verb
moping, move around slowly and aimlessly, verb
embody, represent in bodily form, verb
appreciate, recognize with gratitude; be grateful for, verb
warded, watch over or shield from danger or harm; protect, verb
curdle, turn into curds, verb
undocked, move out of a dock, verb
sleighing, ride (on) a sled, verb
uncover, make visible, verb
glamorize, interpret romantically, verb
strangulate, kill by squeezing the throat of so as to cut off the air, verb
sweltering, be uncomfortably hot, verb
depersonalize, make impersonal or present as an object, verb
blurt, utter impulsively, verb
silvering, coat with a layer of silver or a silver amalgam, verb
rededicate, dedicate anew, verb
bestow, present, verb
gotten, come into the possession of something concrete or abstract, verb
wreak, cause to happen or to occur as a consequence, verb
contraindicate, make a treatment inadvisable, verb
govern, bring into conformity with rules or principles or usage; impose regulations, verb
sealed, make tight; secure against leakage, verb
abiding, dwell, verb
desist, choose not to consume, verb
unhand, remove the hand from, verb
unseat, remove from political office, verb
readmit, admit anew, verb
enamor, attract; cause to be enamored, verb
stated, express in words, verb
nourishing, provide with nourishment, verb
mewl, cry weakly or softly, verb
flaring, burn brightly, verb
congeal, become gelatinous, verb
extemporize, manage in a makeshift way; do with whatever is at hand, verb
vegetate, lead a passive existence without using one's body or mind, verb
abacinate, blind by holding a red-hot metal plate before someone's eyes, verb
becloud, make less visible or unclear, verb
vacillating, be undecided about something; waver between conflicting positions or courses of action, verb
conceptualize, have the idea for, verb
consociate, bring or come into association or action, verb
concoct, make a concoction (of) by mixing, verb
horsing, provide with a horse or horses, verb
tucking, fit snugly into, verb
microcopy, photocopy printed or other graphic matter so that it is reduced in size, verb
discomfit, cause to lose one's composure, verb
buried, cover from sight, verb
intersect, meet at a point, verb
paining, cause bodily suffering to and make sick or indisposed, verb
unveil, remove the veil from, verb
blanketed, cover as if with a blanket, verb
lade, remove with or as if with a ladle, verb
redeed, give an interpretation or explanation to, verb
corded, stack in cords, verb
murdering, kill intentionally and with premeditation, verb
crouching, bend one's back forward from the waist on down, verb
outshine, shine brighter than, verb
decerebrate, remove the cerebrum from (a human body), verb
lend, bestow a quality on, verb
fixate, attach (oneself) to a person or thing in a neurotic way, verb
endue, give qualities or abilities to, verb
discolor, lose color or turn colorless, verb
starring, feature as the star, verb
assuage, cause to be more favorably inclined; gain the good will of, verb
propagandize, subject to propaganda, verb
protrude, extend out or project in space, verb
dignified, confer dignity or honor upon, verb
declare, state emphatically and authoritatively, verb
outplayed, excel or defeat in a game, verb
ragged, treat cruelly, verb
paddled, propel with a paddle, verb
uncompressed, restore to its uncompressed form, verb
pawing, scrape with the paws, verb
scalloping, decorate an edge with scallops, verb
trounce, beat severely with a whip or rod, verb
scintillate, give off, verb
chambered, place in a chamber, verb
evince, give expression to, verb
reseed, seed again or anew, verb
canned, preserve in a can or tin, verb
antiquated, make obsolete or old-fashioned, verb
predigest, digest (food) beforehand, verb
abound, be abundant or plentiful; exist in large quantities, verb
messing, eat in a mess hall, verb
realize, be fully aware or cognizant of, verb
liquidate, get rid of (someone who may be a threat) by killing, verb
felling, cause to fall by or as if by delivering a blow, verb
bewail, regret strongly, verb
eavesdropping, listen without the speaker's knowledge, verb
predecease, die before; die earlier than, verb
christened, administer baptism to, verb
alter, cause to change; make different; cause a transformation, verb
advertise, call attention to, verb
bejewel, adorn or decorate with precious stones, verb
outnumber, be larger in number, verb
centered, center upon, verb
underpinning, support from beneath, verb
battening, furnish with battens, verb
advised, give advice to, verb
soothing, give moral or emotional strength to, verb
antagonize, provoke the hostility of, verb
guarded, to keep watch over, verb
exaggerating, to enlarge beyond bounds or the truth, verb
abolish, do away with, verb
crump, make a noise typical of an engine lacking lubricants, verb
ennoble, confer dignity or honor upon, verb
denigrate, cause to seem less serious; play down, verb
lofting, store in a loft, verb
impersonate, assume or act the character of, verb
bardess, put a caparison on, verb
aphorize, speak or write in aphorisms, verb
demurring, take exception to, verb
burled, remove the burls from cloth, verb
intend, have in mind as a purpose, verb
inactivate, release from military service or remove from the active list of military service, verb
clothe, provide with clothes or put clothes on, verb
urticating, whip with or as with nettles, verb
nabs, tag the base runner to get him out, verb
overleap, defeat (oneself) by going too far, verb
ablactate, gradually deprive (infants and young mammals) of mother's milk, verb
activate, put in motion or move to act, verb
buttoned, provide with buttons, verb
segmented, divide into segments, verb
luxuriate, become extravagant; indulge (oneself) luxuriously, verb
electrocute, kill by electric shock, verb
twaddling, speak (about unimportant matters) rapidly and incessantly, verb
disrupt, make a break in, verb
fascinated, cause to be interested or curious, verb
outgeneral, surpass in generalship, verb
overproduce, produce in excess; produce more than needed or wanted, verb
dimensioned, indicate the dimensions on, verb
beetled, be suspended over or hang over, verb
limn, trace the shape of, verb
perjuress, knowingly tell an untruth in a legal court and render oneself guilty of perjury, verb
symmetrize, make symmetric, verb
hark, listen; used mostly in the imperative, verb
fogged, make less visible or unclear, verb
strewn, spread by scattering ( is archaic), verb
disenfranchise, deprive of voting rights, verb
pauperize, reduce to beggary, verb
galling, become or make sore by or as if by rubbing, verb
harden, become hard or harder, verb
furbish, polish and make shiny, verb
disperse, distribute loosely, verb
cockling, stir up (water) so as to form ripples, verb
overpraise, praise excessively, verb
decentralize, make less central, verb
uncurled, move out of a curled position, verb
guzzle, drink greedily or as if with great thirst, verb
entertaining, provide entertainment for, verb
injured, cause injuries or bodily harm to, verb
navigate, travel on water propelled by wind or by other means, verb
singsing, deliver by singing, verb
extinguished, put an end to; kill, verb
commiserate, to feel or express sympathy or compassion, verb
cognize, be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about, verb
shrive, grant remission of a sin to, verb
prejudiced, disadvantage by prejudice, verb
whiten, turn white, verb
squatted, sit on one's heels, verb
coinsure, take out coinsurance, verb
calcified, become impregnated with calcium salts, verb
verify, confirm the truth of, verb
wean, gradually deprive (infants and young mammals) of mother's milk, verb
unlearning, try to forget; put out of one's memory or knowledge, verb
commanding, be in command of, verb
withdrawing, pull back or move away or backward, verb
hung, be suspended or hanging, verb
quit, put an end to a state or an activity, verb
discharging, complete or carry out, verb
immigrate, migrate to a new environment, verb
chorded, play chords on (a string instrument), verb
bulling, push or force, verb
appeasing, cause to be more favorably inclined; gain the good will of, verb
laddering, come unraveled or undone as if by snagging, verb
americanize, make American in character, verb
outsail, sail faster or better than, verb
spewing, expel or eject (saliva or phlegm or sputum) from the mouth, verb
tunneling, move through by or as by digging, verb
sparked, put in motion or move to act, verb
familiarize, make familiar or conversant with, verb
prologuize, write or speak a prologue, verb
twinning, duplicate or match, verb
sew, fasten by sewing; do needlework, verb
avow, to declare or affirm solemnly and formally as true, verb
reconstructed, reassemble mentally, verb
kibitz, make unwanted and intrusive comments, verb
freed, grant freedom to; free from confinement, verb
seize, take hold of; grab, verb
materialize, come into being; become reality, verb
intriguing, cause to be interested or curious, verb
concatenate, combine two strings to form a single one, verb
undock, move out of a dock, verb
memorialize, address in a memorial, verb
dissected, cut open or cut apart, verb
misname, assign in incorrect name to, verb
slogging, work doggedly or persistently, verb
cradling, hold gently and carefully, verb
embarrassing, cause to be embarrassed; cause to feel self-conscious, verb
acetify, make sour or more sour, verb
sublimed, vaporize and then condense right back again, verb
pollute, make impure, verb
underwrite, guarantee financial support of, verb
overplay, exaggerate one's acting, verb
enrich, make better or improve in quality, verb
tonsured, shave the head of a newly inducted monk, verb
refocus, focus once again; The physicist refocused the light beam", verb
veining, make a veinlike pattern, verb
crumple, fall apart, verb
unspell, release from a spell, verb
conciliate, cause to be more favorably inclined; gain the good will of, verb
arresting, take into custody, verb
fleshing, remove adhering flesh from (hides) when preparing leather manufacture, verb
normalize, become normal or return to its normal state, verb
oversew, sew (two edges) with close stitches that pass over them both, verb
appose, place side by side or in close proximity, verb
populate, inhabit or live in; be an inhabitant of, verb
unnerved, disturb the composure of, verb
tutoress, be a tutor to someone; give individual instruction, verb
incurvate, bend inwards, verb
inoculate, introduce an idea or attitude into the mind of, verb
enticing, provoke someone to do something through (often false or exaggerated) promises or persuasion, verb
whited, turn white, verb
palpitate, cause to throb or beat rapidly, verb
emulsify, cause to become an emulsion; make into an emulsion, verb
detain, deprive of freedom; take into confinement, verb
defacing, mar or spoil the appearance of, verb
revolting, make revolution, verb
soundproof, insulate against noise, verb
rebuild, build again, verb
preponderate, weigh more heavily, verb
unsaddled, remove the saddle from, verb
preconceived, conceive beforehand, verb
merge, become one, verb
ponder, reflect deeply on a subject, verb
consume, eat immoderately, verb
berate, censure severely or angrily, verb
ramping, behave violently as if in state of a great anger, verb
coagulate, change from a liquid to a thickened or solid state, verb
unthawed, become or cause to become soft or liquid, verb
sicken, cause aversion in; offend the moral sense of, verb
macadamize, surface with macadam, verb
punching, deliver a quick blow to, verb
reify, consider an abstract concept to be real, verb
deplete, use up (resources or materials), verb
roam, move about aimlessly or without any destination often in search of food or employment, verb
attaint, bring shame or dishonor upon, verb
deviled, cause annoyance in; disturb especially by minor irritations, verb
soldieress, serve as a soldier in the military, verb
frazzling, wear away by rubbing, verb
creneled, supply with battlements, verb
overcrowded, cause to crowd together too much, verb
tempting, dispose or incline or entice to, verb
trammeled, catch in or as if in a trap, verb
maturate, develop and reach maturity; undergo maturation, verb
contribute, bestow a quality on, verb
stoke, stir up or tend; of a fire, verb
emphasize, to stress or single out as important, verb
disoblige, to cause inconvenience or discomfort to, verb
confiding, reveal in private; tell confidentially, verb
sustained, lengthen or extend in duration or space, verb
disgruntle, put into a bad mood or into bad humour, verb
cooing, speak softly or lovingly, verb
outperform, be or do something to a greater degree, verb
filiate, fix the paternity of, verb
perennate, survive from season to season of plants, verb
dusting, remove the dust from, verb
regarding, deem to be, verb
discording, be different from one another, verb
dialing, operate a dial to select a telephone number, verb
abounding, be abundant or plentiful; exist in large quantities, verb
invaginate, sheathe, verb
beaming, smile radiantly; express joy through one's facial expression, verb
detonate, cause to burst with a violent release of energy, verb
nationalize, put under state control or ownership, verb
transact, conduct business, verb
instrumentate, write an instrumental score for, verb
sizzing, express or utter with a hiss, verb
dropping, let fall to the ground, verb
versify, compose verses or put into verse, verb
queening, promote to a queen as of a pawn in chess, verb
synthesize, combine so as to form a more complex product, verb
derogate, cause to seem less serious; play down, verb
defoliated, strip the leaves or branches from, verb
trodden, put down or press the foot or place the foot, verb
implicate, bring into intimate and incriminating connection, verb
forego, be earlier in time; go back further, verb
defamed, charge falsely or with malicious intent; attack the good name and reputation of someone, verb
fleshed, remove adhering flesh from (hides) when preparing leather manufacture, verb
unsaddling, remove the saddle from, verb
spearing, pierce with a spear, verb
enfranchise, grant freedom to; as from slavery or servitude, verb
persevere, be persistent refuse to stop, verb
unify, become one, verb
ramed, strike or drive against with a heavy impact, verb
usurp, seize and take control without authority and possibly with force; take as one's right or possession, verb
paralyze, make powerless and unable to function, verb
reconvene, meet again, verb
arborize, branch out like trees, verb
imposing, compel to behave in a certain way, verb
inject, give an injection to, verb
slithers, to pass or move unobtrusively or smoothly, verb
overgrown, grow too large, verb
unclutter, rid of obstructions, verb
lubricate, have lubricating properties, verb
condemned, express strong disapproval of, verb
riven, tear or be torn violently, verb
affronting, treat or mention or speak to rudely, verb
brooked, put up with something or somebody unpleasant, verb
screwed, have sexual intercourse with, verb
frayed, wear away by rubbing, verb
swiveled, turn on a pivot, verb
abhorring, find repugnant, verb
overvalue, assign too high a value to, verb
acidulate, make sour or more sour, verb
ensky, exalt to the skies; lift to the skies or to heaven with praise, verb
conflagrate, cause to start burning, verb
uproot, move (people) forcibly from their homeland into a new and foreign environment, verb
thudding, make a dull sound, verb
adsorb, accumulate (liquids or gases) on the surface, verb
resound, ring or echo with sound, verb
aggravate, make worse, verb
pined, have a desire for something or someone who is not present, verb
perjured, knowingly tell an untruth in a legal court and render oneself guilty of perjury, verb
underact, act (a role) with great restraint, verb
swear, utter obscenities or profanities, verb
misdirect, corrupt morally or by intemperance or sensuality, verb
popularize, cater to popular taste to make popular and present to the general public; bring into general or common use, verb
hosed, water with a hose, verb
presuming, take to be the case or to be true; accept without verification or proof, verb
carousing, engage in boisterous drunken merrymaking, verb
quarreling, have a disagreement over something, verb
summarize, give a summary (of), verb
faced, deal with (something unpleasant) head on, verb
puffed, smoke and exhale strongly, verb
dragged, pull as against a resistance, verb
determined, establish after a calculation or investigation or experiment or survey or study, verb
sifted, move as if through a sieve, verb
reflecting, manifest or bring back, verb
excommunicate, exclude from a church or a religious community, verb
publicize, make public, verb
backpedal, pedal backwards on a bicycle, verb
mooning, have dreamlike musings or fantasies while awake, verb
electroplating, coat with metal by electrolysis, verb
freckling, become freckled, verb
rowed, propel with oars, verb
tailed, go after with the intent to catch, verb
purvey, supply with provisions, verb
theologize, treat from a theological viewpoint or render theological in character, verb
inculcate, teach and impress by frequent repetitions or admonitions, verb
defame, charge falsely or with malicious intent; attack the good name and reputation of someone, verb
emend, make improvements or corrections to, verb
redefine, give a new or different definition to, verb
analyze, consider in detail and subject to an analysis in order to discover essential features or meaning, verb
rework, use again in altered form, verb
conjoined, make contact or come together, verb
gestate, have the idea for, verb
scourging, punish severely; excoriate, verb
